,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
76,"Takeshi Kaneshiro, Andy Lau, Ziyi Zhang, Dandan Song",Nominated for 1 Oscar. Another 19 wins & 61 nominations.,"$10,928,042.00","China, Hong Kong",29 Mar 2005,Yimou Zhang,"Action, Adventure, Drama",Mandarin,89,"A romantic police captain breaks a beautiful member of a rebel group out of prison to help her rejoin her fellows, but things are not what they seem.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzg4MDE0NzIwNl5BMl5BanBnXkFtZTcwMDI2NDcyMQ@@._V1_SX300.jpg,Sony Pictures Classics,PG-13,14 Jan 2005,True,119 min,House of Flying Daggers,movie,http://www.sonyclassics.com/houseofflyingdaggers/trailer-open.html,"Feng Li, Bin Wang, Yimou Zhang",2004,tt0385004,7.6,"94,738",certified,167
77,"Jackie Chan, Steve Coogan, Cécile De France, Robert Fyfe",1 win & 2 nominations.,N/A,"USA, Germany, Ireland, UK",02 Nov 2004,Frank Coraci,"Action, Adventure, Comedy","English, Cantonese, French, German, Hindi, Turkish",49,"To win a bet, an eccentric British inventor beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly 80 days.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MTkxMjQ2NF5BMl5BanBnXkFtZTcwNzE0NzUyMQ@@._V1_SX300.jpg,Buena Vista Pictures,PG,16 Jun 2004,True,120 min,Around the World in 80 Days,movie,http://www.80daysmovie.com/,"Jules Verne (novel), David N. Titcher (screenplay), David Benullo (screenplay), David Andrew Goldstein (screenplay)",2004,tt0327437,5.8,"71,014",rotten,127
78,"Diego Luna, Romola Garai, Sela Ward, John Slattery",N/A,"$14,140,215.00",USA,20 Jul 2004,Guy Ferland,"Drama, Music, Romance","English, Spanish",39,"In November 1958, the American teenager Katey Miller moves with her parents and her younger sister to Havana. Her father is an executive of Ford expatriated to Cuba, and Katey is an ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyMjUyNTk5MzNeQTJeQWpwZ15BbWU2MDI0NTYyNw@@._V1_SX300.jpg,Artisan Entertainment,PG-13,27 Feb 2004,True,86 min,Dirty Dancing: Havana Nights,movie,http://www.dirtydancinghavananights.com,"Kate Gunzinger (story), Peter Sagal (story), Boaz Yakin (screenplay), Victoria Arch (screenplay)",2004,tt0338096,6.0,"22,598",rotten,107
79,"Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke",1 win & 10 nominations.,"$85,373,733.00",USA,01 Mar 2005,"Stephen Hillenburg, Mark Osborne","Animation, Adventure, Comedy",English,66,SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjM5YjI0NmQtOTk4OS00NTNiLThkNzQtNTZlNGE4Y2VmNmU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG,19 Nov 2004,True,87 min,The SpongeBob SquarePants Movie,movie,http://www.nick.com/all_nick/movies/spongebob/,"Stephen Hillenburg (television series SpongeBob SquarePants), Stephen Hillenburg (story), Derek Drymon, Tim Hill, Stephen Hillenburg, Kent Osborne, Aaron Springer, Paul Tibbitt",2004,tt0345950,7.0,"61,285",fresh,125
80,"Akio Ôtsuka, Atsuko Tanaka, Kôichi Yamadera, Tamio Ôki",6 wins & 8 nominations.,"$856,451.00",Japan,28 Dec 2004,Mamoru Oshii,"Animation, Drama, Sci-Fi","Japanese, Cantonese, English",66,"In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NTgwNzQ2NV5BMl5BanBnXkFtZTYwOTM4MTY3._V1_SX300.jpg,Go Fish Pictures,PG-13,24 Sep 2004,True,100 min,Ghost in the Shell 2: Innocence,movie,http://www.gofishpictures.com/GITS2/,"Masamune Shirow (comic ""Koukaku-Kidoutai""), Mamoru Oshii (screenplay), Richard Epcar (english version), Mary Claypool (English ADR Writer)",2004,tt0347246,7.6,"27,979",fresh,98
81,"Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary",3 wins & 5 nominations.,N/A,France,N/A,Gérard Pirès,"Action, Comedy, Crime","French, German, Korean, Portuguese",N/A,"To work off his tarnished driving record, a hip taxi driver must chauffeur a loser police inspector on the trail of German bank robbers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmViOGVjZWQtZmNmNS00MWU3LWFjNGEtMDc1MjNlY2ZlNjdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,N/A,NOT RATED,20 Nov 1998,True,86 min,Taxi,movie,N/A,Luc Besson (scenario),1998,tt0152930,6.9,"63,403",N/A,N/A
82,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye",Nominated for 3 Oscars. Another 5 wins & 22 nominations.,"$162,800,000.00",USA,22 Nov 2005,Robert Zemeckis,"Animation, Adventure, Family",English,61,"A young boy embarks on a magical adventure to the North Pole on the Polar Express. During his adventure he learns about friendship, bravery, and the spirit of Christmas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,G,10 Nov 2004,True,100 min,The Polar Express,movie,http://polarexpressmovie.warnerbros.com/,"Chris Van Allsburg (book), Robert Zemeckis (screenplay), William Broyles Jr. (screenplay)",2004,tt0338348,6.6,"129,945",rotten,199
83,"Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson",8 wins & 6 nominations.,"$40,200,000.00",USA,18 Jan 2005,Pitof,"Action, Crime, Fantasy","English, Spanish",27,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzM0NDAzOF5BMl5BanBnXkFtZTcwMDY3MDYyMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,23 Jul 2004,True,104 min,Catwoman,movie,http://catwoman.warnerbros.com/,"Bob Kane (characters), Theresa Rebeck (story), John Brancato (story), Michael Ferris (story), John Brancato (screenplay), Michael Ferris (screenplay), John Rogers (screenplay)",2004,tt0327554,3.3,"89,750",rotten,195
84,"Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons",5 wins & 4 nominations.,N/A,USA,07 Sep 2004,"Ethan Coen, Joel Coen","Comedy, Crime, Thriller","English, Vietnamese",56,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjUxMTYzM15BMl5BanBnXkFtZTYwNjgwMjY3._V1_SX300.jpg,Buena Vista Pictures,R,26 Mar 2004,True,104 min,The Ladykillers,movie,http://ladykillers.movies.go.com,"Joel Coen (screenplay), Ethan Coen (screenplay), William Rose (movie ""The Ladykillers"")",2004,tt0335245,6.2,"86,409",rotten,187
85,"Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington",1 win & 3 nominations.,"$8,070,311.00",USA,23 Nov 2004,Joe Nussbaum,"Comedy, Romance",English,33,"Four best friends, desperate to improve their social status, enter into an all-night scavenger hunt against the popular clique in their school.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA4ODg1OTk2MjJeQTJeQWpwZ15BbWU3MDc4MzIyNzQ@._V1_SX300.jpg,MGM,PG,09 Jul 2004,True,89 min,Sleepover,movie,http://www.sleepovermovie.com/,Elisa Bell,2004,tt0368975,5.3,"12,975",rotten,98
86,"Gwyneth Paltrow, Jude Law, Giovanni Ribisi, Michael Gambon",7 wins & 17 nominations.,"$37,600,000.00","USA, UK, Italy",25 Jan 2005,Kerry Conran,"Action, Adventure, Mystery","English, Tibetan, German",64,"After New York City receives a series of attacks from giant flying robots, a reporter teams up with a pilot in search of their origin, as well as the reason for the disappearances of famous scientists around the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0NDQzMDA1NF5BMl5BanBnXkFtZTcwNTU3ODAzMw@@._V1_SX300.jpg,Paramount,PG,17 Sep 2004,True,106 min,Sky Captain and the World of Tomorrow,movie,http://www.skycaptain.com/home.html,Kerry Conran,2004,tt0346156,6.1,"73,980",fresh,208
87,"Richard Gere, Jennifer Lopez, Susan Sarandon, Lisa Ann Walter",7 nominations.,"$57,825,111.00",USA,01 Feb 2005,Peter Chelsom,"Comedy, Drama, Romance",English,47,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODUwMTMxN15BMl5BanBnXkFtZTcwNzc3MjcyMQ@@._V1_SX300.jpg,Miramax Films,PG-13,15 Oct 2004,True,106 min,Shall We Dance,movie,http://www.miramax.com/shallwedance/,"Masayuki Suo, Audrey Wells (screenplay)",2004,tt0358135,6.1,"36,555",rotten,152
88,"Mandy Moore, Stark Sands, Tony Jayawardena, Jeremy Piven",5 nominations.,N/A,"USA, UK",28 Sep 2004,Andy Cadiff,"Comedy, Romance","English, French, German, Hebrew, Italian, Spanish",46,"Anna Foster has never had an ordinary life. At eighteen years old, she is the most protected girl in America; she is the First Daughter. Frustrated with her overprotective father, the ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MTg5NDg4N15BMl5BanBnXkFtZTYwMjQ1NDI3._V1_SX300.jpg,N/A,PG-13,09 Jan 2004,True,111 min,Chasing Liberty,movie,N/A,"Derek Guiley, David Schneiderman",2004,tt0360139,6.1,"30,706",N/A,N/A
89,"Betty Aberlin, Matt McFarland, Sarah Stafford, Paulie Litt",1 win & 6 nominations.,N/A,USA,07 Sep 2004,Kevin Smith,"Comedy, Drama, Romance",English,43,"After his career is sidelined by an unexpected tragedy and a personal blowup, a single man must take care of his precocious daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTYxMTZlNTEtMjlmZS00ODFiLTg5ODUtYzJkMzc1MGNhYjVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Mirimax Films,PG-13,26 Mar 2004,True,102 min,Jersey Girl,movie,http://www.jerseygirl-movie.com/,Kevin Smith,2004,tt0300051,6.2,"55,820",rotten,172
90,"Nicole Kidman, Matthew Broderick, Bette Midler, Glenn Close",3 wins.,"$59,341,993.00",USA,09 Nov 2004,Frank Oz,"Comedy, Sci-Fi, Thriller",English,42,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech terrifying little town, in a very modern comedy-thriller.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNTM4ODM1OF5BMl5BanBnXkFtZTcwNjg4NzAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,11 Jun 2004,True,93 min,The Stepford Wives,movie,http://www.stepfordwivesmovie.com/,"Ira Levin (book), Paul Rudnick (screenplay)",2004,tt0327162,5.2,"50,450",rotten,168
91,"Audrey Tautou, Gaspard Ulliel, Dominique Pinon, Chantal Neuwirth",Nominated for 2 Oscars. Another 17 wins & 32 nominations.,"$6,200,000.00","France, USA",24 May 2005,Jean-Pierre Jeunet,"Drama, Mystery, Romance","French, German, Corsican",76,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",https://images-na.ssl-images-amazon.com/images/M/MV5BZWI4ZTgwMzktNjk3Yy00OTlhLTg3YTAtMTA1MWVlMWJiOTRiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Warner Bros. Pictures,R,14 Jan 2005,True,133 min,A Very Long Engagement,movie,http://wwws.warnerbros.fr/movies/unlongdimanche/index.html,"Sébastien Japrisot (novel), Jean-Pierre Jeunet (story and adaptation), Guillaume Laurant (story and adaptation), Guillaume Laurant (dialogue)",2004,tt0344510,7.7,"63,711",certified,144
92,"Josh Hartnett, Rose Byrne, Matthew Lillard, Diane Kruger",1 nomination.,"$12,831,121.00",USA,28 Dec 2004,Paul McGuigan,"Drama, Mystery, Romance",English,40,"A young Chicago advertising executive believes a woman he sees in a café is his long-lost love. His belief leads to obsession, as he puts his life on hold in order to trail her.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDU3ZDM5MTQtNDU5NS00NDY1LWI1ODYtMzRiYjU1MTdiNWYxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Metro-Goldwyn-Mayer,PG-13,03 Sep 2004,True,114 min,Wicker Park,movie,http://www.wickerparkmovie.com,"Gilles Mimouni (film L'Appartement), Brandon Boyce (screenplay)",2004,tt0324554,7.0,"46,079",rotten,134
93,"Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands",4 nominations.,"$32,634,479.00",USA,17 Aug 2004,D.J. Caruso,"Crime, Mystery, Thriller","English, French",38,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg,Warner Bros.,R,19 Mar 2004,True,103 min,Taking Lives,movie,http://takinglives.warnerbros.com,"Michael Pye (novel), Jon Bokenkamp (screen story), Jon Bokenkamp (screenplay)",2004,tt0364045,6.2,"67,144",rotten,158
94,"Paddy Considine, Gary Stretch, Toby Kebbell, Stuart Wolfenden",4 wins & 13 nominations.,N/A,UK,05 Sep 2006,Shane Meadows,"Crime, Drama, Thriller",English,52,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5Mzk1MDc2M15BMl5BanBnXkFtZTcwMjIzMDA0MQ@@._V1_SX300.jpg,Magnolia,N/A,01 Oct 2004,True,90 min,Dead Man's Shoes,movie,http://www.godwillforgivethem.com,"Paddy Considine, Shane Meadows, Paul Fraser (additional material)",2004,tt0419677,7.7,"40,957",rotten,42
95,"Michael Bowen, Johnny Knoxville, Dwayne Johnson, Neal McDonough",2 nominations.,"$45,860,039.00",USA,28 Sep 2004,Kevin Bray,"Action, Crime",English,44,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MjYzNzM1N15BMl5BanBnXkFtZTcwMDcwNDc3NA@@._V1_SX300.jpg,MGM,PG-13,02 Apr 2004,True,86 min,Walking Tall,movie,http://www.walkingtallmovie.com/home.html,"Mort Briskin (earlier screenplay), David Klass (screenplay), Channing Gibson (screenplay), David Levien (screenplay), Brian Koppelman (screenplay)",2004,tt0351977,6.2,"54,867",rotten,135
96,"Gael García Bernal, Rodrigo De la Serna, Mía Maestro, Mercedes Morán",Won 1 Oscar. Another 34 wins & 44 nominations.,"$16,680,023.00","Argentina, USA, Chile, Peru, Brazil, UK, Germany, France",15 Feb 2005,Walter Salles,"Adventure, Biography, Drama","Spanish, Quechua, Mapudungun",75,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTNmZTgyMzAtMTUwZC00NjAwLTk4MjktODllYTY5YTUwN2YwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Focus Features,R,15 Oct 2004,True,126 min,The Motorcycle Diaries,movie,http://www.motorcyclediariesmovie.com,"Ernesto 'Che' Guevara (book), Alberto Granado (book), Jose Rivera (screenplay)",2004,tt0318462,7.8,"85,059",certified,154
97,"John Ashker, Max Beesley, Dane Cook, Ice Cube",4 nominations.,"$21,000,000.00",USA,18 May 2004,Joseph Kahn,"Action, Comedy, Crime",English,41,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey (Ice Cube), leader of the most feared biker gang ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNDY3OTY2OV5BMl5BanBnXkFtZTcwMjYzMTQyMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Jan 2004,True,84 min,Torque,movie,http://torquemovie.warnerbros.com/,Matt Johnson,2004,tt0329691,4.0,"24,172",rotten,115
98,"Liam Neeson, Laura Linney, Chris O'Donnell, Peter Sarsgaard",Nominated for 1 Oscar. Another 17 wins & 48 nominations.,"$10,214,647.00","USA, Germany",17 May 2005,Bill Condon,"Biography, Drama, Romance",English,79,"A look at the life of Alfred Kinsey, a pioneer in the area of human sexuality research, whose 1948 publication ""Sexual Behavior in the Human Male"" was one of the first recorded works that saw science address sexual behavior.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0MjA1MjA4MDNeQTJeQWpwZ15BbWU3MDQxMDQ2MjE@._V1_SX300.jpg,Fox Searchlight Pictures,R,07 Jan 2005,True,118 min,Kinsey,movie,http://www2.foxsearchlight.com/kinsey/site/,Bill Condon,2004,tt0362269,7.1,"43,243",certified,194
99,"Julia Stiles, Luke Mably, Ben Miller, Miranda Richardson",1 nomination.,"$28,108,440.00","USA, Czech Republic",10 Aug 2004,Martha Coolidge,"Comedy, Family, Romance","English, Danish, German",47,"At college Paige meets Eddie, a fellow student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTllMGQzZGQtNzZmMy00ZjA2LWExNzMtYjViNGU4YzRmNGE2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG,02 Apr 2004,True,111 min,The Prince and Me,movie,http://www.princeandme.com/,"Mark Amin (story), Katherine Fugate (story), Jack Amiel (screenplay), Michael Begler (screenplay), Katherine Fugate (screenplay)",2004,tt0337697,5.9,"32,792",rotten,120
